股票名称,代码,今开,最高,最低,成交量,涨停,内盘,成交额,委比,流通市值,市盈率,每股收益,总股本,昨收,换手率,跌停,外盘,振幅,量比,总市值,高净率,每股净资产,流通股本
 仁东控股,2647,17.54,17.55,17.38, 6528手,19.25, 1316手, 1141.34万,-10.37%, 98.16亿,530.79,0.01, 5.60亿,17.5,0.12%, non, 5211手,0.97%,0.22, 98.16亿,8.38,2.09, 5.60亿
 成都路桥,2628,6.31,6.63,6.22, 65.99万手,7.04, 34.69万手, 4.21亿,-41.46%, 45.19亿,177.37,0.01, 7.37亿,6.4,9.10%, non, 31.29万手,6.41%,4.91, 45.94亿,1.72,3.63, 7.25亿
 华西能源,2630,--, --, --, --,7.19, --, --, --, 63.47亿,104.19,0.03, 11.81亿,6.54, --, non, --, --, --, 77.22亿,1.47,4.44, 9.70亿
 宜昌交运,2627,9.38,9.47,9.38, 3760手,10.33, 2134手, 354.50万,41.87%, 21.23亿,68,0.06, 3.15亿,9.39,0.17%, non, 1626手,0.96%,0.15, 29.74亿,0.87,10.89, 2.25亿
 跨境通,2640,14.3,14.49,14.11, 4.29万手,15.84, 1.96万手, 6163.88万,-14.52%, 142.03亿,21.43,0.17, 15.58亿,14.4,0.44%, non, 2.33万手,2.64%,0.37, 225.45亿,3.65,3.97, 9.82亿
 永高股份,2641,3.51,3.54,3.47, 1.45万手,3.86, 8075手, 505.62万,-60.39%, 31.42亿,130.91,0.01, 11.23亿,3.51,0.16%, non, 6383手,1.99%,0.39, 39.42亿,1.46,2.4, 8.95亿
 完美世界,2624,27.6,28.12,27.51, 2.65万手,30.56, 1.17万手, 7388.60万,30.38%, 130.02亿,25.44,0.27, 13.15亿,27.78,0.57%, non, 1.48万手,2.20%,1.06, 366.54亿,4.42,6.3, 4.66亿
 三垒股份,2621,17.26,17.49,17.1, 5517手,18.95, 3256手, 953.62万,68.37%, 44.21亿,843.18,0.01, 3.38亿,17.23,0.22%, non, 2261手,2.26%,0.22, 58.42亿,5.09,3.4, 2.55亿
 勤上股份,2638,3.2,3.24,3.14, 34.95万手,3.6, 21.18万手, 1.12亿,3.32%, 31.34亿,22.2,0.04, 15.19亿,3.27,3.57%, non, 13.77万手,3.06%,1.43, 48.60亿,0.93,3.44, 9.79亿
 瑞和股份,2620,6.96,7.05,6.92, 1.90万手,7.69, 1.08万手, 1331.88万,-7.04%, 21.25亿,14.96,0.12, 3.63亿,6.99,0.63%, non, 8207手,1.86%,1.43, 25.41亿,1.19,5.89, 3.03亿
 艾格拉斯,2619,4.11,4.14,4.06, 10.51万手,4.53, 5.94万手, 4309.00万,-33.25%, 57.54亿,15.47,0.07, 18.45亿,4.12,0.75%, non, 4.57万手,1.94%,0.53, 76.01亿,1.28,3.22, 13.97亿
 露笑科技,2617,--, --, --, --,8.97, --, --, --, 85.30亿,30.84,0.1, 11.02亿,8.15, --, non, --, --, --, 89.83亿,2.27,3.59, 10.47亿
 丹邦科技,2618,16.47,18.03,16.31, 13.73万手,18.03, 6.62万手, 2.38亿,100.00%, 98.79亿,572.25,0.01, 5.48亿,16.39,2.51%, non, 7.11万手,10.49%,5.68, 98.79亿,5.88,3.07, 5.48亿
 长青集团,2616,5.43,5.43,5.34, 1.36万手,5.92, 8900手, 730.81万,-40.10%, 24.67亿,49.39,0.03, 7.42亿,5.38,0.30%, non, 4704手,1.67%,0.4, 39.84亿,1.88,2.86, 4.59亿
 仁智股份,2629,5.5,5.56,5.43, 9.20万手,6.17, 5.42万手, 5047.48万,-60.55%, 18.88亿, --,-0.03, 4.12亿,5.61,2.67%, non, 3.78万手,2.32%,1.25, 22.57亿,3.41,1.61, 3.45亿
 亚玛顿,2623,16.26,16.36,16.05, 5134手,17.95, 2957手, 831.33万,-66.76%, 25.85亿,86.86,0.05, 1.60亿,16.32,0.32%, non, 2176手,1.90%,0.2, 25.92亿,1.21,13.38, 1.60亿
 哈尔斯,2615,5.8,5.89,5.76, 6962手,6.4, 4133手, 404.77万,38.57%, 13.59亿,49.61,0.03, 4.10亿,5.82,0.30%, non, 2828手,2.23%,0.08, 23.76亿,2.89,2, 2.35亿
 德尔未来,2631,7.9,7.99,7.79, 6.11万手,8.71, 3.40万手, 4815.96万,-3.14%, 51.41亿,43.69,0.05, 6.68亿,7.92,0.95%, non, 2.71万手,2.53%,0.62, 53.10亿,3.28,2.42, 6.47亿
 朗姿股份,2612,10.16,10.21,10, 1.42万手,11.18, 7873手, 1434.75万,-44.85%, 21.21亿,16.86,0.15, 4.00亿,10.16,0.68%, non, 6303手,2.07%,0.12, 40.68亿,1.48,6.88, 2.09亿
 融钰集团,2622,3.53,3.79,3.52, 44.40万手,3.89, 20.93万手, 1.62亿,-5.08%, 30.47亿, --,-0.01, 8.40亿,3.54,5.29%, non, 23.48万手,7.63%,1.86, 30.49亿,2.48,1.46, 8.39亿
 爱康科技,2610,--, --, --, --,2.31, --, --, --, 88.69亿,163.36,0, 44.90亿,2.1, --, non, --, --, --, 94.30亿,1.64,1.28, 42.23亿
 金达威,2626,16.37,16.82,16.37, 2.41万手,18.13, 1.03万手, 4012.26万,73.75%, 100.28亿,7.62,0.55, 6.16亿,16.48,0.40%, non, 1.38万手,2.73%,0.45, 103.01亿,3.69,4.52, 6.00亿
 北玻股份,2613,3.34,3.4,3.3, 3.21万手,3.7, 1.56万手, 1080.22万,-38.77%, 17.31亿,9.9,0.09, 9.37亿,3.36,0.63%, non, 1.65万手,2.98%,0.37, 31.77亿,2.09,1.63, 5.10亿
 江苏国信,2608,7.85,7.89,7.61, 3.27万手,8.64, 2.56万手, 2518.57万,77.48%, 41.23亿,16.23,0.14, 37.78亿,7.85,0.61%, non, 7079手,3.57%,0.22, 289.02亿,1.38,5.54, 5.39亿
 姚记扑克,2605,6.55,7.08,6.48, 3.93万手,7.19, 1.78万手, 2661.08万,32.65%, 18.39亿,47.89,0.04, 3.97亿,6.54,1.47%, non, 2.15万手,9.17%,0.25, 27.33亿,1.69,4.06, 2.67亿
 东方精工,2611,5.65,5.74,5.41, 41.40万手,6.26, 23.02万手, 2.31亿,41.41%, 56.52亿,212.13,0.01, 18.39亿,5.69,4.03%, non, 18.38万手,5.80%,6.31, 101.13亿,0.82,6.71, 10.28亿
 奥佳华,2614,17.65,17.94,17.3, 2.37万手,19.46, 1.54万手, 4146.45万,-19.89%, 50.19亿,85.78,0.05, 5.62亿,17.69,0.82%, non, 8330手,3.62%,0.06, 97.61亿,3.34,5.21, 2.89亿
 捷顺科技,2609,8.03,8.23,8.01, 3.43万手,8.89, 1.59万手, 2785.28万,-30.61%, 29.82亿, --,-0.04, 6.63亿,8.08,0.94%, non, 1.84万手,2.72%,0.41, 54.33亿,2.36,3.46, 3.64亿
 领益智造,2600,3.77,3.84,3.75, 25.64万手,4.15, 10.43万手, 9739.66万,-30.96%, 50.60亿,15.87,0.06, 67.84亿,3.77,1.93%, non, 15.22万手,2.39%,1.14, 258.47亿,2.33,1.63, 13.28亿
 大连电瓷,2606,4.55,4.6,4.51, 8.07万手,5.03, 4.22万手, 3682.99万,-1.06%, 18.41亿,54.42,0.02, 4.07亿,4.57,2.01%, non, 3.85万手,1.97%,0.43, 18.66亿,2.06,2.22, 4.02亿
 盛通股份,2599,10.46,10.51,10.4, 5145手,11.51, 1589手, 538.13万,-40.14%, 19.96亿,33.8,0.16, 3.25亿,10.46,0.27%, non, 3556手,1.05%,0.16, 34.09亿,2.16,4.85, 1.90亿
 山东章鼓,2598,6.92,6.96,6.86, 9381手,7.61, 3766手, 648.42万,-57.52%, 18.78亿,28.22,0.12, 3.12亿,6.92,0.35%, non, 5615手,1.45%,0.21, 21.68亿,2.73,2.55, 2.70亿
 海南瑞泽,2596,9.7,9.85,9.58, 15.83万手,10.7, 8.93万手, 1.54亿,21.52%, 70.05亿,87.89,0.03, 10.74亿,9.73,2.18%, non, 6.90万手,2.77%,15.07, 103.67亿,3.46,2.79, 7.26亿
 金禾实业,2597,19.57,19.94,19.4, 2.87万手,21.47, 1.45万手, 5643.08万,-66.47%, 109.78亿,9.49,0.52, 5.64亿,19.52,0.51%, non, 1.42万手,2.77%,0.34, 110.70亿,3.41,5.75, 5.60亿
 日上集团,2593,3.45,3.45,3.37, 2.98万手,3.8, 2.12万手, 1010.02万,35.39%, 15.82亿,62.14,0.01, 7.01亿,3.45,0.64%, non, 8609手,2.32%,0.37, 23.77亿,1.29,2.62, 4.67亿
 豪迈科技,2595,15.24,15.24,14.98, 3845手,16.63, 2205手, 581.07万,3.38%, 78.02亿,27.78,0.14, 8.00亿,15.12,0.07%, non, 1640手,1.72%,0.18, 121.20亿,3.03,5.01, 5.15亿
 万安科技,2590,8.01,8.2,7.96, 2.32万手,8.81, 1.18万手, 1873.19万,-22.92%, 34.46亿,30.4,0.07, 4.80亿,8.01,0.55%, non, 1.14万手,3.00%,0.25, 38.85亿,2.08,3.89, 4.25亿
 恒大高新,2591,6.8,6.81,6.7, 5832手,7.49, 3378手, 394.95万,-74.59%, 12.37亿,73.55,0.02, 3.08亿,6.81,0.32%, non, 2453手,1.62%,0.04, 20.94亿,1.68,4.05, 1.82亿
 瑞康医药,2589,12.15,12.3,12.08, 2.99万手,13.42, 1.31万手, 3656.62万,-54.75%, 144.02亿,16.44,0.19, 15.05亿,12.2,0.25%, non, 1.68万手,1.80%,0.83, 184.33亿,2.29,5.34, 11.76亿
 史丹利,2588,4.96,5.07,4.94, 2.61万手,5.47, 1.12万手, 1306.85万,-52.03%, 36.63亿,19.45,0.06, 11.57亿,4.97,0.36%, non, 1.50万手,2.62%,0.24, 58.08亿,1.37,3.66, 7.30亿
 围海股份,2586,5.56,5.6,5.5, 2.75万手,6.09, 1.81万手, 1522.56万,-22.23%, 38.50亿,42.34,0.04, 11.44亿,5.54,0.40%, non, 9325手,1.81%,0.31, 63.50亿,1.34,4.13, 6.94亿
 亚夏汽车,2607,7.57,7.67,7.4, 39.68万手,8.43, 21.57万手, 2.99亿,-33.19%, 53.18亿,150.66,0.01, 8.20亿,7.66,5.63%, non, 18.11万手,3.52%,8.1, 61.85亿,3.22,2.34, 7.05亿
 龙蟒佰利,2601,13.86,13.99,13.74, 10.38万手,15.35, 6.09万手, 1.44亿,-63.73%, 98.10亿,11.87,0.29, 20.32亿,13.95,1.48%, non, 4.29万手,1.79%,0.68, 283.87亿,2.04,6.86, 7.02亿
 比亚迪,2594,39.4,41.77,39.4, 10.36万手,43.18, 4.51万手, 4.22亿,9.53%, 474.57亿,277.61,0.04, 27.28亿,39.25,0.91%, non, 5.84万手,6.04%,3.09, 1137.36亿,2.22,18.75, 11.38亿
 双星新材,2585,5.46,5.5,5.35, 9.65万手,6.02, 5.84万手, 5225.56万,-3.32%, 46.44亿,20.17,0.14, 11.56亿,5.47,1.13%, non, 3.81万手,2.74%,1.48, 63.02亿,0.84,6.52, 8.52亿
 好想你,2582,10.4,10.52,10.3, 3.57万手,11.46, 1.69万手, 3720.63万,-38.64%, 24.73亿,11.24,0.23, 5.16亿,10.42,1.51%, non, 1.88万手,2.11%,1.94, 54.04亿,1.59,6.58, 2.36亿
 未名医药,2581,9.03,9.2,8.98, 3.22万手,9.97, 1.61万手, 2918.17万,5.58%, 31.17亿,18.22,0.12, 6.60亿,9.06,0.94%, non, 1.61万手,2.43%,1.18, 60.04亿,2.04,4.46, 3.43亿
 世纪华通,2602,--, --, --, --,35.75, --, --, --, 259.40亿,37.81,0.21, 14.59亿,32.5, --, non, --, --, --, 474.25亿,3.49,9.31, 7.98亿
 海能达,2583,9.41,9.54,9.26, 10.43万手,10.35, 3.64万手, 9850.50万,-82.60%, 99.56亿, --,-0.06, 18.16亿,9.41,1.00%, non, 6.80万手,2.98%,1.23, 172.49亿,3.1,3.07, 10.48亿
 圣阳股份,2580,5.41,5.62,5.39, 5.58万手,6, 2.76万手, 3081.84万,-3.41%, 16.50亿,124.99,0.01, 3.54亿,5.45,1.87%, non, 2.82万手,4.22%,0.81, 19.58亿,1.67,3.31, 2.98亿
 八菱科技,2592,13.49,13.55,13.22, 1.62万手,14.84, 6903手, 2169.97万,-67.41%, 27.44亿,148.11,0.02, 2.83亿,13.49,0.79%, non, 9312手,2.45%,1.87, 38.08亿,1.78,7.56, 2.04亿
 以岭药业,2603,13.22,13.42,13.22, 3.04万手,14.59, 1.60万手, 4044.30万,-25.15%, 131.67亿,12.92,0.26, 12.06亿,13.26,0.31%, non, 1.44万手,1.51%,0.52, 160.56亿,2.16,6.16, 9.89亿
 群兴玩具,2575,4.12,4.3,4.1, 6.89万手,4.53, 3.15万手, 2891.24万,1.46%, 24.79亿,336.48,0.01, 5.89亿,4.12,1.17%, non, 3.74万手,4.85%,0.75, 24.79亿,2.77,1.52, 5.89亿
 中京电子,2579,8.75,8.9,8.72, 2.16万手,9.66, 1.04万手, 1896.39万,-25.40%, 31.12亿,43.72,0.05, 3.78亿,8.78,0.61%, non, 1.12万手,2.05%,0.37, 33.40亿,3.29,2.69, 3.52亿
 明牌珠宝,2574,5.44,5.48,5.42, 2.83万手,6.01, 1.48万手, 1545.23万,-29.24%, 28.78亿,19.73,0.07, 5.28亿,5.46,0.54%, non, 1.36万手,1.10%,0.13, 28.78亿,0.91,6, 5.28亿
 奥拓电子,2587,5.99,6.04,5.97, 3.11万手,6.61, 1.42万手, 1865.84万,40.41%, 23.70亿,22.17,0.14, 6.11亿,6.01,0.79%, non, 1.68万手,1.16%,0.14, 36.86亿,3.14,1.92, 3.93亿
 索菲亚,2572,26.77,27.02,26.3, 7.95万手,28.82, 3.89万手, 2.11亿,-8.44%, 165.60亿,59.84,0.11, 9.23亿,26.2,1.28%, non, 4.06万手,2.75%,4.79, 246.74亿,5.4,4.95, 6.20亿
 西陇科学,2584,6.46,6.82,6.26, 18.54万手,7.08, 9.39万手, 1.22亿,-34.56%, 19.19亿,101.81,0.02, 5.85亿,6.44,6.35%, non, 9.15万手,8.70%,5.58, 38.45亿,2.27,2.9, 2.92亿
 通达动力,2576,9.15,9.15,9.03, 1.34万手,10.01, 7458手, 1219.41万,-25.99%, 12.46亿,83.74,0.03, 1.65亿,9.1,0.98%, non, 5951手,1.32%,0.44, 15.02亿,1.75,5.2, 1.37亿
 雷柏科技,2577,12.65,12.75,12.56, 1.50万手,13.83, 7034手, 1892.66万,-9.40%, 35.58亿,96.1,0.03, 2.83亿,12.57,0.53%, non, 7934手,1.51%,0.44, 35.78亿,3,4.21, 2.81亿
 清新环境,2573,--, --, --, --,12.6, --, --, --, 123.55亿,26.6,0.11, 10.81亿,11.45, --, non, --, --, --, 123.81亿,2.85,4.02, 10.79亿
 唐人神,2567,5.1,5.38,5.1, 17.22万手,5.67, 7.99万手, 9054.63万,18.72%, 34.05亿,24.73,0.05, 8.37亿,5.15,2.65%, non, 9.23万手,5.44%,1.89, 43.92亿,1.26,4.16, 6.49亿
 步森股份,2569,10.27,10.52,10.12, 3.34万手,11.4, 1.81万手, 3463.07万,27.10%, 14.37亿, --,-0.04, 1.40亿,10.36,2.39%, non, 1.53万手,3.86%,2.05, 14.41亿,2.97,3.47, 1.40亿
 德力股份,2571,6.04,6.15,6.04, 4278手,6.77, 2840手, 261.72万,-32.59%, 15.45亿, --,-0.04, 3.92亿,6.15,0.17%, non, 1437手,1.79%,0.07, 23.91亿,1.58,3.86, 2.53亿
 益盛药业,2566,6.68,6.85,6.67, 1.02万手,7.38, 4936手, 690.15万,-63.65%, 15.28亿,27.6,0.06, 3.31亿,6.71,0.45%, non, 5284手,2.68%,0.26, 22.47亿,1.23,5.51, 2.25亿
 兄弟科技,2562,5.24,5.34,5.21, 6.34万手,5.84, 3.35万手, 3342.10万,-6.02%, 26.31亿,15.84,0.13, 8.66亿,5.31,1.28%, non, 2.99万手,2.45%,0.42, 45.87亿,1.31,4.05, 4.96亿
 百润股份,2568,12.92,13.26,12.85, 1.52万手,14.31, 6125手, 1984.07万,-10.49%, 60.86亿,68.61,0.04, 5.32亿,13.01,0.33%, non, 9043手,3.15%,0.44, 70.46亿,4.96,2.67, 4.59亿
 森马服饰,2563,12.01,12.1,11.62, 8.45万手,13.2, 4.41万手, 9965.87万,-51.52%, 214.78亿,23.5,0.25, 26.86亿,12,0.46%, non, 4.04万手,4.00%,0.88, 313.68亿,3.11,3.76, 18.39亿
 天沃科技,2564,6.29,6.55,6.23, 4.15万手,6.9, 1.42万手, 2668.73万,-8.74%, 39.18亿,27.9,0.12, 8.83亿,6.27,0.69%, non, 2.74万手,5.10%,0.57, 57.48亿,1.5,4.35, 6.02亿
 徐家汇,2561,8.83,8.89,8.76, 8728手,9.71, 3527手, 770.57万,-23.40%, 35.08亿,12.97,0.17, 4.16亿,8.83,0.22%, non, 5200手,1.47%,0.39, 36.71亿,1.66,5.34, 3.97亿
 闽发铝业,2578,3.74,3.74,3.42, 16.36万手,4.14, 8.32万手, 5978.37万,40.80%, 20.33亿,227.42,0, 9.88亿,3.76,2.98%, non, 8.04万手,8.51%,6.39, 36.66亿,2.46,1.51, 5.48亿
 通达股份,2560,4.66,4.68,4.57, 4.43万手,5.09, 2.75万手, 2050.47万,-28.11%, 12.75亿,81.09,0.01, 4.29亿,4.63,1.61%, non, 1.68万手,2.38%,0.18, 19.87亿,1.31,3.53, 2.75亿
 亚威股份,2559,7,7.04,6.97, 1.36万手,7.7, 7682手, 949.20万,48.92%, 21.34亿,19.37,0.18, 3.73亿,7,0.45%, non, 5889手,1.00%,0.17, 26.15亿,1.62,4.33, 3.04亿
 辉隆股份,2556,5.34,5.51,5.28, 9.77万手,5.91, 4.79万手, 5301.74万,-64.34%, 38.18亿,19.84,0.07, 7.18亿,5.37,1.39%, non, 4.98万手,4.28%,0.47, 39.11亿,1.69,3.23, 7.01亿
 南方轴承,2553,6.36,6.48,6.35, 1.19万手,7.04, 6669手, 758.03万,-4.35%, 14.13亿,24.7,0.06, 3.48亿,6.4,0.54%, non, 5184手,2.03%,0.48, 22.27亿,3.07,2.08, 2.21亿
 惠博普,2554,3.39,3.44,3.36, 35.79万手,3.81, 22.91万手, 1.22亿,9.31%, 26.09亿,31.05,0.05, 10.71亿,3.46,4.65%, non, 12.88万手,2.31%,1.29, 36.30亿,1.65,2.05, 7.69亿
 尚荣医疗,2551,5.68,5.78,5.67, 2.90万手,6.3, 1.35万手, 1659.44万,10.23%, 23.52亿,18.61,0.08, 7.06亿,5.73,0.71%, non, 1.55万手,1.92%,0.45, 40.73亿,1.76,3.27, 4.08亿
 千红制药,2550,4.87,4.93,4.85, 6.38万手,5.4, 3.34万手, 3120.40万,-26.21%, 44.28亿,18.65,0.07, 12.80亿,4.91,0.71%, non, 3.04万手,1.63%,0.79, 62.72亿,2.49,1.97, 9.04亿
 凯美特气,2549,5.43,5.66,5.28, 6.88万手,5.94, 3.89万手, 3804.05万,-5.46%, 34.24亿,39.69,0.07, 6.24亿,5.4,1.11%, non, 2.99万手,7.04%,1.75, 34.43亿,3.87,1.43, 6.20亿
 巨人网络,2558,--, --, --, --,24.49, --, --, --, 95.07亿,32.91,0.17, 20.24亿,22.26, --, non, --, --, --, 450.63亿,5.04,4.42, 4.27亿
 金新农,2548,7.77,7.9,7.7, 4.02万手,8.57, 1.91万手, 3151.38万,-22.37%, 24.44亿,40.06,0.05, 3.81亿,7.79,1.29%, non, 2.10万手,2.57%,0.81, 29.87亿,1.81,4.35, 3.11亿
 春兴精工,2547,5.02,5.09,5.01, 23.75万手,5.6, 13.12万手, 1.20亿,-38.66%, 40.52亿,95.28,0.03, 11.28亿,5.09,2.98%, non, 10.63万手,1.57%,1.09, 57.31亿,2.11,2.41, 7.98亿
 *ST因美,2570,5.03,5.15,5.02, 4.53万手,5.29, 2.06万手, 2301.94万,-4.96%, 51.82亿,163.74,0.01, 10.23亿,5.04,0.44%, non, 2.46万手,2.58%,0.5, 51.84亿,2.77,1.83, 10.22亿
 洽洽食品,2557,15.76,16.14,15.62, 2.39万手,17.4, 9826手, 3817.29万,-49.95%, 81.53亿,23.69,0.34, 5.07亿,15.82,0.47%, non, 1.41万手,3.29%,0.51, 81.53亿,2.67,6.03, 5.07亿
 顺灏股份,2565,5.02,5.02,4.92, 2.01万手,5.52, 1.39万手, 1000.73万,16.48%, 34.31亿,39.13,0.06, 7.09亿,5.02,0.29%, non, 6256手,1.99%,0.14, 35.53亿,1.46,3.43, 6.85亿
 万和电气,2543,11.92,12.08,11.84, 1.65万手,13.22, 9292手, 1969.76万,-48.39%, 58.09亿,11.7,0.33, 5.72亿,12.02,0.34%, non, 7184手,2.00%,0.8, 68.47亿,1.67,7.19, 4.85亿
 中化岩土,2542,5.33,5.36,5.23, 8.86万手,5.92, 5.32万手, 4686.72万,22.46%, 36.14亿,54.71,0.02, 18.11亿,5.38,1.29%, non, 3.53万手,2.42%,1, 95.62亿,2.73,1.94, 6.84亿
 鸿路钢构,2541,7.93,7.97,7.76, 4.43万手,8.83, 3.00万手, 3472.00万,17.16%, 29.03亿,19.7,0.15, 5.24亿,8.03,1.19%, non, 1.43万手,2.62%,2.03, 40.95亿,0.67,11.69, 3.71亿
 三七互娱,2555,10.57,10.78,10.51, 6.18万手,11.58, 2.28万手, 6609.63万,-44.43%, 127.00亿,13.91,0.19, 21.25亿,10.53,0.52%, non, 3.90万手,2.56%,0.32, 228.21亿,3.75,2.87, 11.82亿
 司尔特,2538,5.26,5.32,5.12, 41.83万手,5.98, 24.17万手, 2.18亿,53.41%, 35.90亿,18.06,0.14, 7.18亿,5.44,5.99%, non, 17.66万手,3.68%,1.26, 36.91亿,1.11,4.63, 6.98亿
 林州重机,2535,3.88,3.92,3.84, 8.84万手,4.31, 4.63万手, 3422.79万,-6.57%, 22.85亿,30.48,0.03, 8.02亿,3.92,1.50%, non, 4.21万手,2.04%,0.79, 31.03亿,1.05,3.68, 5.90亿
 新联电子,2546,3.76,3.8,3.72, 2.40万手,4.16, 1.48万手, 903.06万,-20.15%, 29.40亿,31.67,0.03, 8.34亿,3.78,0.31%, non, 9240手,2.12%,0.62, 31.36亿,1.09,3.44, 7.82亿
 西泵股份,2536,11.09,11.13,10.66, 8.28万手,12.57, 5.79万手, 8978.62万,-22.48%, 34.05亿,12.12,0.22, 3.34亿,11.43,2.64%, non, 2.49万手,4.11%,0.59, 36.18亿,1.7,6.36, 3.14亿
 金杯电工,2533,4.89,4.96,4.86, 1.85万手,5.39, 6665手, 905.43万,-45.45%, 25.63亿,18.85,0.13, 5.53亿,4.9,0.36%, non, 1.18万手,2.04%,0.2, 27.38亿,1.2,4.14, 5.18亿
 杭锅股份,2534,7.12,7.12,6.94, 4.31万手,7.9, 2.69万手, 3020.74万,-17.63%, 50.79亿,16.78,0.1, 7.39亿,7.18,0.59%, non, 1.62万手,2.51%,0.57, 51.61亿,1.69,4.14, 7.28亿
 东方铁塔,2545,5.82,5.94,5.8, 4.93万手,6.39, 2.42万手, 2889.34万,12.76%, 36.18亿,70.85,0.02, 12.91亿,5.81,0.80%, non, 2.51万手,2.41%,0.37, 75.53亿,1.08,5.43, 6.18亿
 海联金汇,2537,9.8,9.92,9.75, 1.95万手,10.87, 1.12万手, 1914.88万,-19.53%, 114.62亿,32.83,0.08, 12.51亿,9.88,0.17%, non, 8246手,1.72%,0.42, 124.13亿,1.77,5.6, 11.55亿
 杰赛科技,2544,11.58,11.77,11.5, 5.89万手,12.73, 2.80万手, 6860.64万,9.02%, 59.75亿,50.37,0.06, 5.71亿,11.57,1.15%, non, 3.09万手,2.33%,1.59, 66.74亿,3.12,3.75, 5.12亿
 新时达,2527,6.53,6.64,6.47, 3.31万手,7.17, 1.74万手, 2165.31万,-40.53%, 27.86亿, --,-0.02, 6.20亿,6.52,0.78%, non, 1.57万手,2.61%,0.63, 40.99亿,1.36,4.86, 4.22亿
 天顺风能,2531,4.18,4.25,4.14, 4.86万手,4.63, 3.39万手, 2032.23万,23.93%, 73.59亿,22.58,0.05, 17.79亿,4.21,0.27%, non, 1.47万手,2.61%,0.43, 74.01亿,1.5,2.77, 17.69亿
 英飞拓,2528,4.2,4.26,4.18, 3.66万手,4.63, 1.90万手, 1543.37万,-0.15%, 36.44亿, --,0, 11.99亿,4.21,0.42%, non, 1.76万手,1.90%,0.74, 50.58亿,1.52,2.78, 8.64亿
 光正集团,2524,5.37,5.37,5.15, 17.38万手,5.91, 10.39万手, 9131.20万,54.89%, 26.20亿, --,-0.02, 5.03亿,5.37,3.47%, non, 6.99万手,4.10%,0.88, 26.32亿,3.31,1.58, 5.01亿
 亚太科技,2540,5.2,5.22,5.16, 2.41万手,5.75, 1.71万手, 1247.24万,52.75%, 36.58亿,19.96,0.06, 12.71亿,5.23,0.34%, non, 6954手,1.15%,0.37, 65.94亿,1.39,3.73, 7.05亿
 云图控股,2539,4.84,5.09,4.84, 10.46万手,5.38, 5.30万手, 5193.34万,-25.97%, 24.00亿,27.92,0.09, 10.10亿,4.89,2.19%, non, 5.16万手,5.11%,1.63, 50.71亿,1.65,3.05, 4.78亿
 浙江众成,2522,6.15,6.21,6.11, 3.12万手,6.77, 1.72万手, 1918.83万,-39.68%, 52.62亿,121.87,0.01, 9.06亿,6.15,0.37%, non, 1.40万手,1.63%,0.39, 55.98亿,3.07,2.01, 8.51亿
 齐峰新材,2521,6.29,6.34,6.22, 1.89万手,6.92, 1.31万手, 1180.76万,-10.38%, 26.92亿,34.83,0.04, 4.95亿,6.29,0.44%, non, 5791手,1.91%,0.12, 30.97亿,0.9,6.95, 4.30亿
 银河电子,2519,3.93,4.01,3.92, 5.76万手,4.36, 2.53万手, 2288.69万,-13.68%, 33.10亿,28.29,0.03, 11.26亿,3.96,0.69%, non, 3.23万手,2.27%,1.41, 44.83亿,1.24,3.2, 8.32亿
 日发精机,2520,6.99,6.99,6.86, 1.50万手,7.63, 8948手, 1034.87万,-0.86%, 36.74亿,49.01,0.04, 5.54亿,6.94,0.28%, non, 6033手,1.87%,0.53, 38.40亿,2.17,3.19, 5.30亿
 恺英网络,2517,5.75,5.83,5.69, 15.64万手,6.35, 7.43万手, 9029.92万,-21.80%, 48.22亿,12.68,0.17, 21.53亿,5.77,1.88%, non, 8.21万手,2.43%,6.37, 125.06亿,1.65,3.52, 8.30亿
 金财互联,2530,7.18,7.89,7.1, 14.49万手,7.89, 6.24万手, 1.08亿,100.00%, 26.71亿,65.63,0.05, 7.85亿,7.17,4.28%, non, 8.25万手,11.02%,5.61, 61.95亿,0.98,8.06, 3.39亿
 金字火腿,2515,4.57,4.68,4.54, 5.52万手,5.08, 2.70万手, 2546.93万,-33.21%, 44.10亿,59.85,0.02, 9.78亿,4.62,0.58%, non, 2.82万手,3.03%,0.17, 45.20亿,3.07,1.51, 9.55亿
 宝馨科技,2514,5.53,5.6,5.5, 1.11万手,6.09, 4737手, 618.79万,-11.51%, 20.07亿,14.87,0.09, 5.54亿,5.54,0.31%, non, 6396手,1.81%,0.13, 31.03亿,3.4,1.65, 3.58亿
 新界泵业,2532,5.02,5.05,4.96, 6610手,5.52, 3913手, 330.33万,13.01%, 20.17亿,25.42,0.05, 5.15亿,5.02,0.16%, non, 2696手,1.79%,0.32, 25.77亿,1.8,2.79, 4.03亿
 达华智能,2512,--, --, --, --,10.63, --, --, --, 61.79亿, --,-0.07, 10.95亿,9.66, --, non, --, --, --, 105.81亿,3.71,2.6, 6.40亿
 胜景山河,2525,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 天汽模,2510,4.51,4.57,4.46, 7.31万手,4.99, 4.47万手, 3300.89万,-24.94%, 33.47亿,38.93,0.03, 8.96亿,4.54,0.99%, non, 2.84万手,2.42%,0.55, 40.69亿,1.68,2.7, 7.37亿
