股票名称,代码,今开,最高,最低,成交量,涨停,内盘,成交额,委比,流通市值,市盈率,每股收益,总股本,昨收,换手率,跌停,外盘,振幅,量比,总市值,高净率,每股净资产,流通股本
 安阳钢铁,600569,4.68,4.79,4.66, 72.75万手,5.13, 36.00万手, 3.44亿,5.02%, 112.26亿,5.52,0.42, 23.94亿,4.66,3.04%, non, 36.76万手,2.79%,5.26, 112.26亿,1.5,3.12, 23.94亿
 老白干酒,600559,18.15,18.63,18.15, 3.03万手,20.13, 1.58万手, 5566.13万,27.20%, 89.87亿,41.76,0.22, 6.66亿,18.3,0.62%, non, 1.44万手,2.62%,0.46, 122.15亿,4.8,3.82, 4.90亿
 金自天正,600560,8.68,9.16,8.68, 8.72万手,9.47, 3.88万手, 7816.65万,-44.39%, 20.37亿,115.05,0.02, 2.24亿,8.61,3.90%, non, 4.84万手,5.57%,1.9, 20.37亿,2.73,3.34, 2.24亿
 ST慧球,600556,3.24,3.26,3.22, 2.24万手,3.42, 1.48万手, 725.54万,-9.50%, 12.79亿, --,-0.01, 3.95亿,3.26,0.57%, non, 7618手,1.23%,0.16, 12.79亿,17.15,0.19, 3.95亿
 康缘药业,600557,10.84,11.01,10.76, 2.25万手,11.92, 8237手, 2458.14万,-45.37%, 65.42亿,17.8,0.15, 6.16亿,10.84,0.38%, non, 1.43万手,2.31%,0.49, 67.38亿,1.88,5.81, 5.99亿
 恒生电子,600570,48.79,50.42,48.79, 13.62万手,53.87, 6.08万手, 6.78亿,-40.20%, 308.84亿,134.62,0.09, 6.18亿,48.97,2.21%, non, 7.55万手,3.33%,0.77, 308.84亿,9.8,5.1, 6.18亿
 凯盛科技,600552,4.47,4.59,4.46, 6.32万手,4.95, 3.26万手, 2861.51万,-50.98%, 33.93亿,63.51,0.02, 7.67亿,4.5,0.85%, non, 3.06万手,2.89%,1.94, 35.13亿,1.48,3.1, 7.41亿
 济川药业,600566,43.32,46.15,43.2, 5.61万手,47.74, 2.56万手, 2.50亿,-75.51%, 358.31亿,21.26,1.03, 8.14亿,43.4,0.69%, non, 3.05万手,6.80%,2.36, 358.31亿,7.98,5.51, 8.14亿
 时代出版,600551,8.7,8.7,8.59, 2.40万手,9.59, 1.58万手, 2071.67万,10.55%, 43.80亿,12.81,0.34, 5.06亿,8.72,0.47%, non, 8231手,1.26%,0.64, 43.80亿,0.93,9.27, 5.06亿
 中珠医疗,600568,3,3.05,2.95, 37.44万手,3.32, 22.77万手, 1.12亿,14.91%, 46.64亿,23.52,0.03, 19.93亿,3.02,2.39%, non, 14.67万手,3.31%,6.93, 59.39亿,0.98,3.04, 15.65亿
 深高速,600548,7.89,7.94,7.89, 5301手,8.7, 2940手, 419.57万,-17.74%, 113.23亿,10.85,0.18, 21.81亿,7.91,0.04%, non, 2360手,0.63%,0.24, 172.28亿,1.22,6.46, 14.33亿
 厦门钨业,600549,14.03,14.13,13.85, 5.38万手,15.39, 2.74万手, 7530.33万,-24.43%, 197.83亿,165.41,0.03, 14.13亿,13.99,0.38%, non, 2.64万手,2.00%,0.52, 198.85亿,2.21,6.38, 14.06亿
 山东黄金,600547,22.34,22.67,22.31, 6.98万手,24.79, 4.20万手, 1.57亿,4.34%, 324.99亿,29.98,0.19, 18.57亿,22.54,0.48%, non, 2.79万手,1.60%,0.33, 415.81亿,2.49,8.97, 14.52亿
 莫高股份,600543,7.77,7.96,7.61, 3.53万手,8.5, 1.60万手, 2750.64万,-85.07%, 25.34亿,44.51,0.04, 3.21亿,7.73,1.10%, non, 1.93万手,4.53%,0.61, 25.34亿,2.23,3.55, 3.21亿
 大西洋,600558,4.41,4.49,4.38, 3.43万手,4.85, 2.07万手, 1520.89万,-43.46%, 39.58亿,114.84,0.01, 8.98亿,4.41,0.38%, non, 1.36万手,2.49%,0.32, 39.58亿,2.1,2.1, 8.98亿
 海航创新,600555,3.68,3.73,3.64, 7.70万手,4.07, 4.57万手, 2831.36万,-22.95%, 35.82亿,87.96,0.01, 13.04亿,3.7,0.79%, non, 3.13万手,2.43%,0.33, 47.97亿,3.02,1.22, 9.74亿
 *ST狮头,600539,5.79,5.89,5.78, 3887手,6.15, 2476手, 226.65万,-15.84%, 13.41亿,201.26,0.01, 2.30亿,5.86,0.17%, non, 1410手,1.88%,0.12, 13.41亿,3.18,1.83, 2.30亿
 太行水泥,600553,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 国发股份,600538,4.95,4.95,4.85, 4.91万手,5.47, 2.81万手, 2403.76万,-74.38%, 22.94亿,4704.68,0, 4.64亿,4.97,1.06%, non, 2.10万手,2.01%,1.02, 22.94亿,3.48,1.42, 4.64亿
 中国软件,600536,26.87,28,26.21, 66.90万手,28.55, 30.44万手, 18.05亿,-5.39%, 138.13亿, --,-0.22, 4.95亿,25.95,13.53%, non, 36.46万手,6.90%,7.25, 138.13亿,6.91,4.04, 4.95亿
